window_start,window_end,meanx,meany,meanz,sdx,sdy,sdz,meanxg,meanyg,meanzg,sdxg,sdyg,sdzg,label
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.001835597,7.48E-05,-0.001030805,0.04661581,0.03380989,0.027385859,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.003252761,0.002090625,-0.001550025,0.045736287,0.033548567,0.027328035,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.002409793,0.00223112,-0.001385097,0.04722504,0.033315837,0.0274431,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.001084254,0.001345391,-0.000413849,0.04829917,0.03466177,0.027558465,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.000174092,0.000423012,0.000471879,0.047293343,0.034130584,0.02668729,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.000369563,0.000752869,-5.96E-05,0.04763498,0.03473427,0.027460223,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.001988308,0.002536543,-0.000786466,0.048541162,0.03477918,0.02778066,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.002709108,0.003489465,-0.000560453,0.048043404,0.033728864,0.027817795,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.000864349,0.002841967,0.000435229,0.049045626,0.03428778,0.0279373,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,0.00134081,0.001546971,0.001382042,0.049076106,0.034665618,0.027976347,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,0.001585149,0.001064401,0.001437018,0.049063496,0.034820564,0.027971027,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,0.000302369,0.001156029,0.001143812,0.0489643,0.0347716,0.02799015,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.000668878,0.001394259,0.001003317,0.048990946,0.034602895,0.028000519,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.000650552,0.000997208,0.001241547,0.048993934,0.034900088,0.027961707,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-8.86E-05,-0.000261137,0.001736333,0.049199186,0.03498758,0.027792985,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,0.000192417,-0.001269035,0.001540862,0.049325194,0.0343818,0.027859742,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.00038178,-0.000584886,0.000477988,0.04891529,0.034510918,0.027661592,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.001456871,0.000148131,-0.000914744,0.04805855,0.033987746,0.027290573,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.002788517,0.000587941,-0.002307476,0.047791652,0.03377383,0.027638666,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.003582619,0.000594049,-0.003413109,0.048196282,0.033774976,0.027477963,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.002776301,0.000325276,-0.004036173,0.04817027,0.033629455,0.027147392,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,-0.001279726,6.26E-05,-0.004109474,0.04924608,0.03366494,0.02705687,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,0.000644444,-0.001116324,-0.00285113,0.049318105,0.033702623,0.027780777,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,0.001548498,-0.001800472,-0.001586676,0.04885069,0.033652835,0.027878124,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,0.00149963,-0.001733279,-0.000560452,0.04887253,0.033666573,0.027931646,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,0.001249183,-0.001159083,-0.000126751,0.04885766,0.033853505,0.0280824,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,0.001065929,-0.001018588,-0.000267246,0.048809852,0.033853903,0.027989965,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,0.001273617,-0.001641652,9.32E-05,0.048836708,0.03396275,0.0281,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,0.002183779,-0.002832804,0.001272089,0.048432834,0.0339298,0.027926667,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,0.003631487,-0.003559712,0.002218903,0.04731042,0.033823527,0.027802495,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,0.003973561,-0.002777828,0.002121167,0.047202196,0.034172103,0.027786229,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,0.002929013,-0.00161111,0.001516428,0.046735562,0.03449318,0.027480133,1
1.74416E+12,1.74416E+12,0.023874383,9.115696,3.7941139,0.089559175,0.08708397,0.221856,0.002415901,-0.001940967,0.001461452,0.046295047,0.03464163,0.027430672,1
