window_start,window_end,meanx,meany,meanz,sdx,sdy,sdz,meanxg,meanyg,meanzg,sdxg,sdyg,sdzg,label
1745119483268,1745119548908,-1.1760721,9.593544,1.9737736,0.7696943,1.8260914,1.2914127,0.059078094,-0.26343402,-0.09683455,0.16391051,0.1305724,0.12716757,1.0
1745119548908,1745119548929,-1.1708738,9.514754,1.9859352,0.7684162,1.932384,1.2996761,0.059078094,-0.26343402,-0.09683455,0.16391051,0.1305724,0.12716757,1.0
1745119548929,1745119548948,-1.1868937,9.583344,1.9342742,0.76314515,2.0162344,1.3305223,0.059078094,-0.26343402,-0.09683455,0.16391051,0.1305724,0.12716757,1.0
1745119548948,1745119548968,-1.1770054,9.504627,1.988047,0.76463246,2.0823996,1.3534576,0.059078094,-0.26343402,-0.09683455,0.16391051,0.1305724,0.12716757,1.0
1745119548968,1745119548990,-1.19817,9.564555,1.9815621,0.7903331,2.1188536,1.3546166,0.059078094,-0.26343402,-0.09683455,0.16391051,0.1305724,0.12716757,1.0
1745119548990,1745119549007,-1.1680503,9.584356,1.9743538,0.8066589,2.1155598,1.3546635,0.059078094,-0.26343402,-0.09683455,0.16391051,0.1305724,0.12716757,1.0
1745119549007,1745119549029,-1.1708738,9.556891,1.9456758,0.80569863,2.118061,1.3483862,0.059078094,-0.26343402,-0.09683455,0.16391051,0.1305724,0.12716757,1.0
1745119549029,1745119549046,-1.1482496,9.614182,1.9305474,0.7912643,2.1291285,1.3511325,0.059078094,-0.26343402,-0.09683455,0.16391051,0.1305724,0.12716757,1.0
1745119549046,1745119549067,-1.1591669,9.500154,2.0175982,0.77958286,2.157557,1.346829,0.059078094,-0.26343402,-0.09683455,0.16391051,0.1305724,0.12716757,1.0
1745119549067,1745119549085,-1.1690972,9.628019,1.9657457,0.78453493,2.1416638,1.3091276,0.059078094,-0.26343402,-0.09683455,0.16391051,0.1305724,0.12716757,1.0
1745119549085,1745119549105,-1.1073803,9.570197,1.921359,0.8595813,2.1380572,1.2973915,0.059078094,-0.26343402,-0.09683455,0.16391051,0.1305724,0.12716757,1.0
1745119549105,1745119549132,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.059078094,-0.26343402,-0.09683455,0.16391051,0.1305724,0.12716757,1.0
1745119549132,1745119549155,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.05549242,-0.2549005,-0.08262014,0.16482204,0.13398208,0.1382268,1.0
1745119549155,1745119549174,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.055932228,-0.23350863,-0.07819151,0.16472898,0.16910112,0.13750577,1.0
1745119549174,1745119549195,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.053085674,-0.22550651,-0.0647773,0.16630593,0.1719595,0.14744945,1.0
1745119549195,1745119549213,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.054893784,-0.21097444,-0.05916972,0.1671389,0.17754841,0.14898238,1.0
1745119549213,1745119549233,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.05065451,-0.1952879,-0.053989746,0.17054787,0.19503851,0.1502934,1.0
1745119549233,1745119549252,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.050049767,-0.19041942,-0.045425665,0.17055233,0.1959128,0.155014,1.0
1745119549252,1745119549272,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.052603107,-0.17543532,-0.045627248,0.16987975,0.21261406,0.1549821,1.0
1745119549272,1745119549293,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.04630527,-0.16998045,-0.03898733,0.17276709,0.21503702,0.1596839,1.0
1745119549293,1745119549311,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.053965297,-0.16277857,-0.040538885,0.17586872,0.21933375,0.15964253,1.0
1745119549311,1745119549331,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.044924755,-0.15337153,-0.038327616,0.18338013,0.22552823,0.16080953,1.0
1745119549331,1745119549350,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.05510147,-0.15546063,-0.038370375,0.18517645,0.22507344,0.16080305,1.0
1745119549350,1745119549370,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.047453664,-0.14572982,-0.04070992,0.18435016,0.2306245,0.16143852,1.0
1745119549370,1745119549390,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.04782628,-0.14536944,-0.04243251,0.18395324,0.23053429,0.16033368,1.0
1745119549390,1745119549409,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.05078889,-0.14150277,-0.046403017,0.18853143,0.23089325,0.16482271,1.0
1745119549409,1745119549430,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.047362037,-0.14011003,-0.047649145,0.1954812,0.2305596,0.16408972,1.0
1745119549430,1745119549449,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.051424168,-0.14279166,-0.051876206,0.20186356,0.23225978,0.16854021,1.0
1745119549449,1745119549468,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.04386799,-0.1380881,-0.0577098,0.21399762,0.23405167,0.1709163,1.0
1745119549468,1745119549489,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.04840659,-0.14591306,-0.060147084,0.21763746,0.24361373,0.17150679,1.0
1745119549489,1745119549508,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.052633647,-0.14971255,-0.0667198,0.21793292,0.2442514,0.17789073,1.0
1745119549508,1745119549529,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.041730024,-0.14922386,-0.073646806,0.23160431,0.24411042,0.18117222,1.0
1745119549529,1745119549547,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.055231277,-0.15949221,-0.08036001,0.25393438,0.25677225,0.18455428,1.0
1745119549547,1745119549567,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.04505457,-0.16077499,-0.08515516,0.26725632,0.25689232,0.18528128,1.0
1745119549567,1745119549585,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.04882349,-0.16409187,-0.09291441,0.26992664,0.25913695,0.1911843,1.0
1745119549585,1745119549607,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.057357024,-0.17379826,-0.0970071,0.269839,0.26843503,0.19126493,1.0
1745119549607,1745119549633,-1.1453723,9.597369,1.9513589,0.86229575,2.138282,1.2738817,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549633,1745119549656,-1.1277552,9.647665,1.8929921,0.8843094,2.1545563,1.3148689,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549656,1745119549674,-1.1102517,9.597441,1.9079771,0.8852929,2.181024,1.3177552,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549674,1745119549694,-1.1088877,9.665625,1.8425455,0.88460404,2.187481,1.3469514,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549694,1745119549716,-1.0996994,9.581946,1.877044,0.8855076,2.2025535,1.3446862,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549716,1745119549734,-1.10217,9.617498,1.83438,0.8844769,2.216111,1.32513,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549734,1745119549752,-1.0816036,9.629252,1.8181506,0.86408335,2.212895,1.3136929,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549752,1745119549772,-1.1146185,9.594348,1.887674,0.8385076,2.1820035,1.248974,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549772,1745119549793,-1.0921859,9.666335,1.8074967,0.8203306,2.0901632,1.2666397,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549793,1745119549811,-1.0877352,9.591709,1.8073051,0.8184755,1.9971675,1.2669573,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549811,1745119549831,-1.0994899,9.647874,1.7568823,0.8191075,1.9205228,1.2057033,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549831,1745119549851,-1.0765308,9.60746,1.7861645,0.7953263,1.8727872,1.2280276,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549851,1745119549870,-1.0898649,9.641528,1.7768266,0.78156763,1.8481765,1.2272509,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549870,1745119549890,-1.1037551,9.694893,1.7710779,0.7892855,1.8417317,1.2315187,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549890,1745119549909,-1.0994241,9.623863,1.813694,0.7905185,1.819147,1.1881367,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549909,1745119549930,-1.0990891,9.745724,1.7548006,0.7904656,1.7093828,1.1927068,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549930,1745119549949,-1.1109635,9.665666,1.8418695,0.79822767,1.6144749,1.211663,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549949,1745119549970,-1.1009077,9.742134,1.7625535,0.8049703,1.5198777,1.2055758,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549970,1745119549988,-1.0665048,9.703035,1.739307,0.7737189,1.4778666,1.2199774,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119549988,1745119550008,-1.0968877,9.654748,1.7487887,0.7608568,1.5155671,1.2221663,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550008,1745119550027,-1.1085706,9.721185,1.7616441,0.7632355,1.5444243,1.2232709,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550027,1745119550048,-1.1125965,9.64084,1.8130958,0.7637282,1.5579695,1.257033,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550048,1745119550067,-1.1069496,9.780533,1.7057657,0.76862735,1.5538064,1.2873234,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550067,1745119550086,-1.0996515,9.677754,1.7360709,0.76370615,1.5408609,1.3036429,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550086,1745119550107,-1.1674759,9.712403,1.7049462,0.6848346,1.5286195,1.3347898,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550107,1745119550126,-1.1561757,9.702609,1.6912293,0.6732969,1.5265243,1.338506,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550126,1745119550146,-1.1358308,9.656619,1.6844097,0.63546723,1.5254344,1.3346099,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550146,1745119550165,-1.1470351,9.713173,1.6388924,0.62581867,1.5262469,1.3387749,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550165,1745119550185,-1.1365486,9.666369,1.618661,0.61544245,1.5612788,1.3005999,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550185,1745119550204,-1.1352086,9.688204,1.619307,0.6154691,1.5803714,1.2997576,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550204,1745119550224,-1.1623074,9.643075,1.6539253,0.57724065,1.612224,1.290072,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550224,1745119550243,-1.1458328,9.710971,1.607672,0.5326523,1.6401529,1.2997758,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550243,1745119550263,-1.1477948,9.689472,1.6056861,0.5327303,1.6432735,1.2987056,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550263,1745119550282,-1.1576593,9.737783,1.599961,0.5468787,1.6398319,1.29634,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550282,1745119550302,-1.1571089,9.731101,1.5991474,0.54725033,1.6347574,1.2965413,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550302,1745119550323,-1.1567501,9.747139,1.5638592,0.5470838,1.6085665,1.2687355,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550323,1745119550341,-1.1774061,9.710601,1.5798792,0.5506585,1.5702713,1.257803,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550341,1745119550362,-1.1809773,9.681061,1.5880685,0.54801416,1.6111091,1.2600558,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
1745119550362,1745119550381,-1.1880362,9.682185,1.5751891,0.5606922,1.6129123,1.2484751,0.043399163,-0.1685022,-0.10212599,0.27334243,0.26795784,0.19442879,1.0
