timestamp,sensor_type,acc_x,acc_y,acc_z,lat,lon
1744883356524,lsm6dso Accelerometer Non-wakeup,-0.40079778,9.759426,1.6633109,30.32197368,120.15172038
1744883356531,lsm6dso Gyroscope Non-wakeup,0.0022143214,0.0012216945,-0.011224318,30.32197368,120.15172038
1744883356541,lsm6dso Accelerometer Non-wakeup,-0.28953153,9.856336,1.715953,30.32197368,120.15172038
1744883356551,lsm6dso Gyroscope Non-wakeup,-0.01733279,0.014049487,0.005879405,30.32197368,120.15172038
1744883356561,lsm6dso Accelerometer Non-wakeup,-0.2644069,9.608679,1.87029,30.32197368,120.15172038
1744883356570,lsm6dso Gyroscope Non-wakeup,-0.009086353,0.04734066,0.01565296,30.32197368,120.15172038
1744883356580,lsm6dso Accelerometer Non-wakeup,-0.20338993,9.660124,1.8690935,30.32197368,120.15172038
1744883356590,lsm6dso Gyroscope Non-wakeup,0.009544488,0.044897273,0.013209572,30.32197368,120.15172038
1744883356600,lsm6dso Accelerometer Non-wakeup,-0.40797627,9.7450695,1.6094723,30.32197368,120.15172038
1744883356611,lsm6dso Gyroscope Non-wakeup,-0.015500249,0.07941014,0.013514996,30.32197368,120.15172038
1744883356619,lsm6dso Accelerometer Non-wakeup,-0.47138608,9.835997,1.7817556,30.32197368,120.15172038
1744883356629,lsm6dso Gyroscope Non-wakeup,0.009544488,0.003970507,0.022066858,30.32197368,120.15172038
1744883356639,lsm6dso Accelerometer Non-wakeup,-0.06909275,9.89821,1.3495519,30.32197368,120.15172038
1744883356650,lsm6dso Gyroscope Non-wakeup,-0.02069245,0.048562355,-0.010308048,30.32197368,120.15172038
1744883356657,lsm6dso Accelerometer Non-wakeup,-0.40917268,9.7043915,2.0078773,30.32197368,120.15172038
1744883356669,lsm6dso Gyroscope Non-wakeup,0.009544488,-0.026571855,-0.0038941512,30.32197368,120.15172038
1744883356679,lsm6dso Accelerometer Non-wakeup,0.10797612,9.786943,1.3483555,30.32197368,120.15172038
1744883356688,lsm6dso Gyroscope Non-wakeup,0.009544488,-0.0012216945,-0.04909685,30.32197368,120.15172038
1744883356700,lsm6dso Accelerometer Non-wakeup,-0.58504516,9.876675,1.7003996,30.32197368,120.15172038
1744883356708,lsm6dso Gyroscope Non-wakeup,-0.015500249,-0.014660334,-0.040544987,30.32197368,120.15172038
1744883356719,lsm6dso Accelerometer Non-wakeup,-0.5479564,9.715159,1.5436697,30.32197368,120.15172038
1744883356727,lsm6dso Gyroscope Non-wakeup,0.017485503,-0.070247434,-0.025579229,30.32197368,120.15172038
1744883356737,lsm6dso Accelerometer Non-wakeup,-0.44626144,9.94487,1.1688938,30.32197368,120.15172038
1744883356749,lsm6dso Gyroscope Non-wakeup,-0.012140589,-0.06933116,-0.04940227,30.32197368,120.15172038
1744883356756,lsm6dso Accelerometer Non-wakeup,-0.03798606,10.293324,1.5771692,30.32197368,120.15172038
1744883356766,lsm6dso Gyroscope Non-wakeup,-0.04421007,-0.14385453,-0.07902836,30.32197368,120.15172038
1744883356776,lsm6dso Accelerometer Non-wakeup,0.044566322,8.62822,2.4065814,30.32197368,120.15172038
1744883356787,lsm6dso Gyroscope Non-wakeup,0.027869906,0.03603999,-0.121482246,30.32197368,120.15172038
1744883356795,lsm6dso Accelerometer Non-wakeup,-0.98853487,9.972387,2.2342982,30.32197368,120.15172038
1744883356806,lsm6dso Gyroscope Non-wakeup,0.08376243,-0.15301724,0.041308545,30.32197368,120.15172038
1744883356817,lsm6dso Accelerometer Non-wakeup,0.7722835,9.815658,0.47108695,30.32197368,120.15172038
1744883356827,lsm6dso Gyroscope Non-wakeup,-0.06314634,0.1603474,-0.029549737,30.32197368,120.15172038
1744883356835,lsm6dso Accelerometer Non-wakeup,-1.5439688,9.46152,2.4628127,30.32197368,120.15172038
1744883356845,lsm6dso Gyroscope Non-wakeup,0.026037365,0.105065726,0.034589227,30.32197368,120.15172038
1744883356856,lsm6dso Accelerometer Non-wakeup,-0.8150552,9.893424,1.3806586,30.32197368,120.15172038
1744883356864,lsm6dso Gyroscope Non-wakeup,0.012598725,0.06352811,0.12682717,30.32197368,120.15172038
1744883356875,lsm6dso Accelerometer Non-wakeup,-0.13250256,9.819247,0.5069793,30.32197368,120.15172038
1744883356886,lsm6dso Gyroscope Non-wakeup,-0.012751437,0.21074231,0.05780142,30.32197368,120.15172038
1744883356894,lsm6dso Accelerometer Non-wakeup,-0.73489565,9.782158,1.0348958,30.32197368,120.15172038
1744883356904,lsm6dso Gyroscope Non-wakeup,-0.02985516,0.10628742,0.11888615,30.32197368,120.15172038
1744883356914,lsm6dso Accelerometer Non-wakeup,-0.10378868,9.469894,1.5158532,30.32197368,120.15172038
1744883356923,lsm6dso Gyroscope Non-wakeup,6.8720314E-4,0.11972606,0.10880717,30.32197368,120.15172038
1744883356932,lsm6dso Accelerometer Non-wakeup,0.20368902,9.832407,1.154537,30.32197368,120.15172038
1744883356943,lsm6dso Gyroscope Non-wakeup,0.02481567,0.13774605,0.08009735,30.32197368,120.15172038
1744883356954,lsm6dso Accelerometer Non-wakeup,-0.08344969,10.391431,0.8467601,30.32197368,120.15172038
1744883356963,lsm6dso Gyroscope Non-wakeup,0.01901262,0.09712471,0.053525493,30.32197368,120.15172038
1744883356972,lsm6dso Accelerometer Non-wakeup,-0.17467605,10.472787,0.58953166,30.32197368,120.15172038
1744883356984,lsm6dso Gyroscope Non-wakeup,-0.0600921,0.062000997,0.026037365,30.32197368,120.15172038
1744883356992,lsm6dso Accelerometer Non-wakeup,-0.6233303,9.29133,1.1449656,30.32197368,120.15172038
1744883357002,lsm6dso Gyroscope Non-wakeup,-5.344914E-4,0.023212196,-0.012140589,30.32197368,120.15172038
1744883357012,lsm6dso Accelerometer Non-wakeup,-0.45224348,9.796515,1.6513467,30.32197368,120.15172038
1744883357021,lsm6dso Gyroscope Non-wakeup,-0.010918895,-0.0839915,0.026953636,30.32197368,120.15172038
1744883357030,lsm6dso Accelerometer Non-wakeup,0.70648086,9.784551,1.5867405,30.32197368,120.15172038
1744883357041,lsm6dso Gyroscope Non-wakeup,0.025731942,-0.005803049,-0.023441264,30.32197825,120.15171744
1744883357052,lsm6dso Accelerometer Non-wakeup,0.7004988,9.934102,1.3866407,30.32197825,120.15171744
1744883357062,lsm6dso Gyroscope Non-wakeup,0.006490252,0.074217945,-0.010918895,30.32197825,120.15171744
1744883357069,lsm6dso Accelerometer Non-wakeup,-0.13489537,10.086346,1.4871392,30.32197825,120.15171744
1744883357082,lsm6dso Gyroscope Non-wakeup,-0.030466007,0.12644538,0.041003123,30.32197825,120.15171744
1744883357090,lsm6dso Accelerometer Non-wakeup,-0.587438,8.979067,1.6058831,30.32197825,120.15171744
1744883357099,lsm6dso Gyroscope Non-wakeup,0.014125843,0.15332267,0.0742943,30.32197825,120.15171744
1744883357110,lsm6dso Accelerometer Non-wakeup,-0.6233303,9.529716,1.0851451,30.32197825,120.15171744
1744883357120,lsm6dso Gyroscope Non-wakeup,0.023899399,0.15912572,0.08345701,30.32197825,120.15171744
1744883357129,lsm6dso Accelerometer Non-wakeup,-0.78035927,10.436894,0.6840482,30.32197825,120.15171744
1744883357140,lsm6dso Gyroscope Non-wakeup,0.0071010995,0.123391144,0.094452254,30.32197825,120.15171744
1744883357152,lsm6dso Accelerometer Non-wakeup,-0.18664017,10.073185,0.8012965,30.32197825,120.15171744
1744883357158,lsm6dso Gyroscope Non-wakeup,-0.05673244,0.18294875,0.08926006,30.32197825,120.15171744
1744883357168,lsm6dso Accelerometer Non-wakeup,-0.6867401,9.899406,1.7063817,30.32197825,120.15171744
1744883357179,lsm6dso Gyroscope Non-wakeup,0.042224817,0.14018944,0.1078909,30.32197825,120.15171744
1744883357188,lsm6dso Accelerometer Non-wakeup,0.09720842,9.757033,0.8790632,30.32197825,120.15171744
1744883357200,lsm6dso Gyroscope Non-wakeup,-0.033520244,0.18508671,0.15156648,30.32197825,120.15171744
1744883357207,lsm6dso Accelerometer Non-wakeup,0.19411774,9.459127,0.747458,30.32197825,120.15171744
1744883357217,lsm6dso Gyroscope Non-wakeup,0.015347538,0.28343314,0.15584241,30.32197825,120.15171744
