window_start,window_end,meanx,meany,meanz,sdx,sdy,sdz,meanxg,meanyg,meanzg,sdxg,sdyg,sdzg,label,time_diff,disconnected,window_start_time,window_end_time,des
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.03123262,0.032823868,-0.04451549,0.10323903,0.20593548,0.13824463,1,0,0,16:25:41,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.025814405,0.038663566,-0.046012066,0.10711571,0.20435943,0.13871022,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.027433148,0.040532757,-0.04755751,0.10699948,0.20305371,0.13946386,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.03002314,0.04124745,-0.04669011,0.10751897,0.20238867,0.1392101,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.029094653,0.04462543,-0.04551728,0.10751707,0.19965142,0.1382164,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.02878312,0.047954556,-0.046231974,0.10738934,0.19539782,0.13885148,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.022222621,0.040508322,-0.054398995,0.10798477,0.18844876,0.13048883,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.026730672,0.023691714,-0.06415422,0.11324211,0.17478508,0.121751934,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.019247798,0.014663393,-0.07319477,0.11590056,0.16551588,0.11270485,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.021495715,0.002098264,-0.08079371,0.115365006,0.14225274,0.11000915,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.023621462,-0.01285528,-0.085680485,0.11925379,0.15261899,0.10576508,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.02163621,-0.017632104,-0.09177675,0.12225695,0.1476468,0.10313103,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.022222621,-0.026904767,-0.09389639,0.12287463,0.14554761,0.105577126,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.025893813,-0.033703495,-0.096859,0.12094527,0.1531329,0.104655795,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.021935523,-0.03555436,-0.09832502,0.11983867,0.15331873,0.10712201,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.022320356,-0.04642745,-0.0979524,0.119617335,0.16405529,0.10657676,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.017494667,-0.046708442,-0.0990397,0.123314366,0.16445696,0.10819802,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.01596755,-0.05305515,-0.105765134,0.12178161,0.16920261,0.11028461,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.013737956,-0.06508884,-0.10892933,0.12103917,0.18329607,0.111714914,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.005778615,-0.07144776,-0.11385885,0.12711193,0.18379582,0.11633026,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.000757,-0.08207649,-0.117285706,0.12336733,0.19462061,0.11684063,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,-0.003848338,-0.0871343,-0.120767534,0.122915424,0.19677746,0.11651287,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,-0.003329117,-0.09690176,-0.121525005,0.12292026,0.1961012,0.11648326,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,-0.008973346,-0.103279,-0.121121846,0.12107425,0.19716646,0.1165514,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,-0.010634849,-0.10300413,-0.12235577,0.11964241,0.1971281,0.11642574,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,-0.003842229,-0.11021212,-0.11525772,0.1202685,0.19675028,0.120977744,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.002583885,-0.10917368,-0.109796755,0.12791663,0.19663885,0.124238245,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.001368299,-0.10418306,-0.106308825,0.12749937,0.19730073,0.12709111,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.00744012,-0.10601561,-0.0999499,0.13014926,0.19647959,0.1302072,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.006193992,-0.105362,-0.09330388,0.13025399,0.19659261,0.13439001,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.006505524,-0.10352945,-0.09021911,0.13061887,0.19592449,0.1356682,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.007678351,-0.10092113,-0.08428778,0.13006449,0.19668317,0.13730648,1,0,0,16:26:23,16:26:23,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.003939966,-0.101483114,-0.07689042,0.13290858,0.19664206,0.14058475,1,0,0,16:26:23,16:26:24,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.002431173,-0.095026456,-0.073756754,0.13307638,0.19651113,0.14238665,1,0,0,16:26:24,16:26:24,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,-0.000971,-0.09424458,-0.066365495,0.13483267,0.1968834,0.14666091,1,0,0,16:26:24,16:26:24,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,-0.000739,-0.09475159,-0.06163143,0.13459863,0.1965877,0.14964043,1,0,0,16:26:24,16:26:24,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,0.001154502,-0.09266248,-0.059108626,0.13523231,0.19676471,0.15162723,1,0,0,16:26:24,16:26:24,
1.74505E+12,1.74505E+12,-0.17313862,9.748402,1.5610597,0.88430613,1.0709182,1.8024043,-0.002657184,-0.09593052,-0.0546189,0.13852417,0.19488905,0.15461768,1,0,0,16:26:24,16:26:24,
