window_start,window_end,meanx,meany,meanz,sdx,sdy,sdz,meanxg,meanyg,meanzg,sdxg,sdyg,sdzg,label
1744946979911,1744946992595,-0.481394,9.959111,1.8886548,1.0440224,1.4769087,1.8390285,0.004749341,-0.06269126,-0.055321373,0.19644383,0.18316025,0.119972326,1.0
1744946992595,1744946992612,-0.481394,9.959111,1.8886548,1.0440224,1.4769087,1.8390285,0.008096783,-0.06391906,-0.061020575,0.19731738,0.18291077,0.11478633,1.0
1744946992612,1744946992632,-0.45513278,9.958298,1.8266748,1.0003804,1.4770274,1.7926918,0.008096783,-0.06391906,-0.061020575,0.19731738,0.18291077,0.11478633,1.0
1744946992632,1744946992652,-0.45513278,9.958298,1.8266748,1.0003804,1.4770274,1.7926918,0.008622113,-0.071890615,-0.059133057,0.19744572,0.17757748,0.11556191,1.0
1744946992652,1744946992673,-0.432389,9.998833,1.8437656,1.0204812,1.4722029,1.7885144,0.008622113,-0.071890615,-0.059133057,0.19744572,0.17757748,0.11556191,1.0
1744946992673,1744946992691,-0.432389,9.998833,1.8437656,1.0204812,1.4722029,1.7885144,0.010894463,-0.06900131,-0.060299773,0.19642125,0.17869778,0.115448475,1.0
1744946992691,1744946992710,-0.432389,9.998833,1.8437656,1.0204812,1.4722029,1.7885144,0.012641487,-0.073875874,-0.05871768,0.19635256,0.17693196,0.11599169,1.0
1744946992710,1744946992730,-0.432389,9.998833,1.8437656,1.0204812,1.4722029,1.7885144,0.014987142,-0.0774371,-0.0589498,0.19424702,0.17521952,0.115927264,1.0
1744946992730,1744946992750,-0.432389,9.998833,1.8437656,1.0204812,1.4722029,1.7885144,0.014113629,-0.08002098,-0.061845213,0.19410123,0.17525434,0.1164866,1.0
1744946992750,1744946992769,-0.432389,9.998833,1.8437656,1.0204812,1.4722029,1.7885144,0.012922478,-0.08829338,-0.062309455,0.1942989,0.17974642,0.11651945,1.0
1744946992769,1744946992788,-0.432389,9.998833,1.8437656,1.0204812,1.4722029,1.7885144,0.009972084,-0.09255251,-0.068515666,0.19486727,0.18051602,0.11251513,1.0
1744946992788,1744946992810,-0.432389,9.998833,1.8437656,1.0204812,1.4722029,1.7885144,0.01254986,-0.09876636,-0.07014663,0.19426182,0.18194464,0.1130837,1.0
1744946992810,1744946992828,-0.432389,9.998833,1.8437656,1.0204812,1.4722029,1.7885144,0.016440956,-0.10801611,-0.07436758,0.19189386,0.17573023,0.111605346,1.0
1744946992828,1744946992848,-0.432389,9.998833,1.8437656,1.0204812,1.4722029,1.7885144,0.012183351,-0.11096804,-0.07356737,0.18831715,0.17716162,0.11118944,1.0
1744946992848,1744946992867,-0.432389,9.998833,1.8437656,1.0204812,1.4722029,1.7885144,0.0154574895,-0.11860516,-0.072956525,0.18629907,0.17630766,0.111123346,1.0
1744946992867,1744946992887,-0.432389,9.998833,1.8437656,1.0204812,1.4722029,1.7885144,0.009886565,-0.115482196,-0.072528936,0.17870292,0.17500223,0.110863216,1.0
1744946992887,1744946992907,-0.42927828,10.0291195,1.7564273,1.0193094,1.461671,1.8131511,0.009886565,-0.115482196,-0.072528936,0.17870292,0.17500223,0.110863216,1.0
1744946992907,1744946992926,-0.39983463,9.955457,1.7361243,1.0327593,1.5310856,1.8302467,0.009886565,-0.115482196,-0.072528936,0.17870292,0.17500223,0.110863216,1.0
1744946992926,1744946992946,-0.41907892,9.865415,1.7659509,1.0483835,1.5166993,1.8590208,0.009886565,-0.115482196,-0.072528936,0.17870292,0.17500223,0.110863216,1.0
1744946992946,1744946992966,-0.4370071,9.900919,1.7725369,1.0424458,1.5427858,1.8636084,0.009886565,-0.115482196,-0.072528936,0.17870292,0.17500223,0.110863216,1.0
1744946992966,1744946992985,-0.4370071,9.900919,1.7725369,1.0424458,1.5427858,1.8636084,0.01366771,-0.114938535,-0.061099987,0.1756866,0.17586516,0.10994663,1.0
1744946992985,1744946993005,-0.4370071,9.900919,1.7725369,1.0424458,1.5427858,1.8636084,0.009593357,-0.10297051,-0.055901684,0.16503161,0.1577912,0.11546576,1.0
1744946993005,1744946993024,-0.4370071,9.900919,1.7725369,1.0424458,1.5427858,1.8636084,0.0134600215,-0.10059432,-0.0489136,0.1574211,0.16152655,0.118284255,1.0
1744946993024,1744946993044,-0.4370071,9.900919,1.7725369,1.0424458,1.5427858,1.8636084,0.01958071,-0.09810206,-0.040654942,0.15525873,0.1641642,0.110942,1.0
1744946993044,1744946993064,-0.4370071,9.900919,1.7725369,1.0424458,1.5427858,1.8636084,0.012873607,-0.0897136,-0.033471376,0.15268941,0.1568347,0.11897874,1.0
1744946993064,1744946993083,-0.40619355,9.907911,1.679522,1.0511099,1.5435596,1.9293034,0.012873607,-0.0897136,-0.033471376,0.15268941,0.1568347,0.11897874,1.0
1744946993083,1744946993103,-0.40619355,9.907911,1.679522,1.0511099,1.5435596,1.9293034,0.011199887,-0.08885231,-0.028150892,0.15477487,0.1573669,0.115768574,1.0
1744946993103,1744946993122,-0.40619355,9.907911,1.679522,1.0511099,1.5435596,1.9293034,-1.6187265E-4,-0.078661844,-0.025395975,0.16834572,0.16063797,0.11513386,1.0
1744946993122,1744946993142,-0.40619355,9.907911,1.679522,1.0511099,1.5435596,1.9293034,0.012433798,-0.08126558,-0.022696028,0.18797709,0.16189204,0.11527329,1.0
1744946993142,1744946993161,-0.40619355,9.907911,1.679522,1.0511099,1.5435596,1.9293034,0.010399678,-0.07880234,-0.019373018,0.1880882,0.16128874,0.11609464,1.0
1744946993161,1744946993181,-0.46879575,9.792278,1.7457434,1.094548,1.6358305,1.9819908,0.010399678,-0.07880234,-0.019373018,0.1880882,0.16128874,0.11609464,1.0
1744946993181,1744946993201,-0.46879575,9.792278,1.7457434,1.094548,1.6358305,1.9819908,0.017998617,-0.0872641,-0.016068337,0.19668669,0.17094642,0.11580102,1.0
1744946993201,1744946993220,-0.42586854,9.733768,1.7281504,1.1418507,1.6874163,1.9934871,0.017998617,-0.0872641,-0.016068337,0.19668669,0.17094642,0.11580102,1.0
1744946993220,1744946993241,-0.42586854,9.733768,1.7281504,1.1418507,1.6874163,1.9934871,0.022561647,-0.085993536,-0.019910567,0.19700776,0.1714307,0.120643556,1.0
1744946993241,1744946993261,-0.41669804,9.697475,1.7721063,1.145379,1.6850772,1.985721,0.022561647,-0.085993536,-0.019910567,0.19700776,0.1714307,0.120643556,1.0
1744946993261,1744946993279,-0.41669804,9.697475,1.7721063,1.145379,1.6850772,1.985721,0.026312249,-0.08664104,-0.020478655,0.19714285,0.17128228,0.12078101,1.0
1744946993279,1744946993299,-0.41669804,9.697475,1.7721063,1.145379,1.6850772,1.985721,0.026727626,-0.08502841,-0.021205561,0.19702917,0.17165293,0.12106836,1.0
1744946993299,1744946993318,-0.41669804,9.697475,1.7721063,1.145379,1.6850772,1.985721,0.024180396,-0.08334246,-0.020020518,0.1989999,0.17230754,0.12076076,1.0
1744946993318,1744946993338,-0.41669804,9.697475,1.7721063,1.145379,1.6850772,1.985721,0.03160219,-0.092352465,-0.023581758,0.19809146,0.15970711,0.11784671,1.0
1744946993338,1744946993358,-0.37418354,9.64646,1.6685092,1.134016,1.6523092,1.9807299,0.03160219,-0.092352465,-0.023581758,0.19809146,0.15970711,0.11784671,1.0
1744946993358,1744946993378,-0.37418354,9.64646,1.6685092,1.134016,1.6523092,1.9807299,0.032365747,-0.09117965,-0.02405211,0.19743465,0.1607967,0.11805227,1.0
1744946993378,1744946993397,-0.37418354,9.64646,1.6685092,1.134016,1.6523092,1.9807299,0.03668444,-0.09234025,-0.020716883,0.19631383,0.1608222,0.11736895,1.0
1744946993397,1744946993416,-0.37418354,9.64646,1.6685092,1.134016,1.6523092,1.9807299,0.03632404,-0.09108649,-0.018591134,0.19624977,0.16036117,0.11784978,1.0
1744946993416,1744946993437,-0.37418354,9.64646,1.6685092,1.134016,1.6523092,1.9807299,0.034351002,-0.08522235,-0.020442002,0.19747101,0.16406696,0.11829433,1.0
1744946993437,1744946993456,-0.39081967,9.619145,1.6152148,1.1323415,1.6393294,1.9656055,0.034351002,-0.08522235,-0.020442002,0.19747101,0.16406696,0.11829433,1.0
1744946993456,1744946993478,-0.39081967,9.619145,1.6152148,1.1323415,1.6393294,1.9656055,0.038993433,-0.08640129,-0.020240424,0.19349748,0.16391003,0.11832234,1.0
1744946993478,1744946993495,-0.39081967,9.619145,1.6152148,1.1323415,1.6393294,1.9656055,0.026092345,-0.083188236,-0.024131522,0.17934223,0.16421886,0.11768898,1.0
1744946993495,1744946993517,-0.39081967,9.619145,1.6152148,1.1323415,1.6393294,1.9656055,0.024498034,-0.08389834,-0.024241472,0.17967334,0.16450861,0.11770355,1.0
1744946993517,1744946993534,-0.39081967,9.619145,1.6152148,1.1323415,1.6393294,1.9656055,0.027656112,-0.08333483,-0.026171751,0.18087386,0.16424859,0.11665565,1.0
1744946993534,1744946993554,-0.39081967,9.619145,1.6152148,1.1323415,1.6393294,1.9656055,0.03246348,-0.08692815,-0.027277384,0.18266171,0.16580074,0.11632301,1.0
1744946993554,1744946993573,-0.39081967,9.619145,1.6152148,1.1323415,1.6393294,1.9656055,0.027234625,-0.083525725,-0.030899705,0.18574369,0.16654831,0.11730336,1.0
1744946993573,1744946993593,-0.39081967,9.619145,1.6152148,1.1323415,1.6393294,1.9656055,0.025328781,-0.08238344,-0.03135784,0.18504918,0.16692308,0.11759266,1.0
1744946993593,1744946993613,-0.39081967,9.619145,1.6152148,1.1323415,1.6393294,1.9656055,0.030643154,-0.0921341,-0.030191122,0.1864353,0.16486631,0.118498296,1.0
1744946993613,1744946993633,-0.39081967,9.619145,1.6152148,1.1323415,1.6393294,1.9656055,0.02925042,-0.08933642,-0.0332026,0.18639834,0.16510499,0.118730694,1.0
1744946993633,1744946993652,-0.39081967,9.619145,1.6152148,1.1323415,1.6393294,1.9656055,0.020264858,-0.089018784,-0.03752129,0.19878586,0.16538852,0.11691678,1.0
1744946993652,1744946993672,-0.39081967,9.619145,1.6152148,1.1323415,1.6393294,1.9656055,0.028437996,-0.09627717,-0.03590865,0.20516959,0.16617459,0.11690819,1.0
1744946993672,1744946993691,-0.34057045,9.663364,1.5868659,1.1515787,1.6867652,1.9733608,0.028437996,-0.09627717,-0.03590865,0.20516959,0.16617459,0.11690819,1.0
1744946993691,1744946993711,-0.34057045,9.599728,1.6125052,1.1515787,1.7316917,2.0041883,0.028437996,-0.09627717,-0.03590865,0.20516959,0.16617459,0.11690819,1.0
1744946993711,1744946993730,-0.34057045,9.599728,1.6125052,1.1515787,1.7316917,2.0041883,0.03162662,-0.097060576,-0.03187706,0.20632887,0.16649769,0.11619739,1.0
1744946993730,1744946993750,-0.34057045,9.599728,1.6125052,1.1515787,1.7316917,2.0041883,0.025053902,-0.08568508,-0.030215554,0.21387275,0.16570374,0.116063684,1.0
1744946993750,1744946993770,-0.34057045,9.599728,1.6125052,1.1515787,1.7316917,2.0041883,0.03128454,-0.082024574,-0.030453786,0.2146811,0.16450468,0.11631445,1.0
