window_start,window_end,meanx,meany,meanz,sdx,sdy,sdz,meanxg,meanyg,meanzg,sdxg,sdyg,sdzg,label
1744864780230,1744864796978,-0.14715858,9.770057,1.6493726,0.21216004,0.15509829,0.19094545,-3.2985755E-4,7.696677E-4,0.0026724564,0.0017691806,0.0025579042,0.00875224,1.0
1744864796978,1744864796994,-0.14715858,9.770057,1.6493726,0.21216004,0.15509829,0.19094545,-2.1990502E-4,8.674032E-4,0.0030572903,0.0017861825,0.0025674559,0.009202239,1.0
1744864796994,1744864797013,-0.14715858,9.770057,1.6493726,0.21216004,0.15509829,0.19094545,-1.7714572E-4,0.0014965759,0.0032344358,0.0017202592,0.0050471663,0.009304271,1.0
1744864797013,1744864797032,-0.14715858,9.770057,1.6493726,0.21216004,0.15509829,0.19094545,-3.6650838E-4,0.0022845687,0.0035276425,0.0021018828,0.0067169564,0.009636926,1.0
1744864797032,1744864797053,-0.14715858,9.770057,1.6493726,0.21216004,0.15509829,0.19094545,-3.4818295E-4,0.003054236,0.003912476,0.0020983382,0.008305557,0.010177559,1.0
1744864797053,1744864797073,-0.14842677,9.771038,1.6476259,0.21288091,0.15499988,0.19072618,-3.4818295E-4,0.003054236,0.003912476,0.0020983382,0.008305557,0.010177559,1.0
1744864797073,1744864797093,-0.14689536,9.771732,1.645927,0.2123675,0.1549014,0.19062802,-3.4818295E-4,0.003054236,0.003912476,0.0020983382,0.008305557,0.010177559,1.0
1744864797093,1744864797113,-0.14689536,9.771732,1.645927,0.2123675,0.1549014,0.19062802,-3.7261684E-4,0.0037444937,0.0040468625,0.0021294751,0.009663473,0.010274771,1.0
1744864797113,1744864797131,-0.14825928,9.772665,1.645927,0.21334991,0.1548275,0.19062802,-3.7261684E-4,0.0037444937,0.0040468625,0.0021294751,0.009663473,0.010274771,1.0
1744864797131,1744864797152,-0.14825928,9.772665,1.645927,0.21334991,0.1548275,0.19062802,-3.2985755E-4,0.0038910974,0.0042117913,0.0021334577,0.0096866125,0.010417089,1.0
1744864797152,1744864797170,-0.15017954,9.773312,1.6456877,0.21335155,0.15480287,0.19061302,-3.2985755E-4,0.0038910974,0.0042117913,0.0021334577,0.0096866125,0.010417089,1.0
1744864797170,1744864797191,-0.15329619,9.772713,1.6469319,0.21378885,0.15497527,0.19090423,-3.2985755E-4,0.0038910974,0.0042117913,0.0021334577,0.0096866125,0.010417089,1.0
1744864797191,1744864797209,-0.15329619,9.772713,1.6469319,0.21378885,0.15497527,0.19090423,-2.1379653E-4,0.0043431246,0.0044194795,0.0022051926,0.010227641,0.010568944,1.0
1744864797209,1744864797229,-0.15329619,9.772713,1.6469319,0.21378885,0.15497527,0.19090423,-1.8325419E-4,0.0051005753,0.0046332763,0.0022142688,0.011364222,0.010727953,1.0
1744864797229,1744864797249,-0.15329619,9.772713,1.6469319,0.21378885,0.15497527,0.19090423,-3.420745E-4,0.005827483,0.0052074734,0.0026185617,0.012286246,0.011518479,1.0
1744864797249,1744864797268,-0.15329619,9.772713,1.6469319,0.21378885,0.15497527,0.19090423,-3.848338E-4,0.0066826683,0.005891623,0.002644912,0.013346404,0.012427396,1.0
1744864797268,1744864797290,-0.14972489,9.77178,1.6488941,0.21253131,0.15470427,0.19058174,-3.848338E-4,0.0066826683,0.005891623,0.002644912,0.013346404,0.012427396,1.0
1744864797290,1744864797307,-0.14972489,9.77178,1.6488941,0.21253131,0.15470427,0.19058174,-5.986303E-4,0.008325849,0.0069544967,0.0029460068,0.016939925,0.014325668,1.0
1744864797307,1744864797328,-0.14972489,9.77178,1.6488941,0.21253131,0.15470427,0.19058174,-4.886778E-4,0.009969028,0.007956287,0.0030333963,0.019885024,0.015649378,1.0
1744864797328,1744864797347,-0.15116058,9.773001,1.6471474,0.21352513,0.15475358,0.19078617,-4.886778E-4,0.009969028,0.007956287,0.0030333963,0.019885024,0.015649378,1.0
1744864797347,1744864797366,-0.15116058,9.773001,1.6471474,0.21352513,0.15475358,0.19078617,-6.6582346E-4,0.011392303,0.0093612345,0.0032671422,0.021624079,0.01796981,1.0
1744864797366,1744864797388,-0.15116058,9.773001,1.6471474,0.21352513,0.15475358,0.19078617,-8.7962E-4,0.013011048,0.0107173165,0.0034982087,0.023572313,0.019777616,1.0
1744864797388,1744864797406,-0.15116058,9.773001,1.6471474,0.21352513,0.15475358,0.19078617,-0.0010262234,0.01493522,0.011975662,0.0035851893,0.025906267,0.021114113,1.0
1744864797406,1744864797425,-0.15116058,9.773001,1.6471474,0.21352513,0.15475358,0.19078617,-9.3459635E-4,0.016419578,0.013325633,0.0036448755,0.027098073,0.022390356,1.0
1744864797425,1744864797446,-0.15116058,9.773001,1.6471474,0.21352513,0.15475358,0.19078617,-0.0010934167,0.01788561,0.014510677,0.0037715011,0.028141135,0.023195134,1.0
